Fold,Accuracy_overall,Balanced Accuracy_overall,Macro F1_overall,Micro F1_overall,covid_Precision,covid_Recall,covid_Specificity,covid_F1,pneumonia_Precision,pneumonia_Recall,pneumonia_Specificity,pneumonia_F1,regular_Precision,regular_Recall,regular_Specificity,regular_F1
1,0.5475,0.5372360186259254,0.5029761904761905,0.5475,0.25842696629213485,0.26436781609195403,0.7891373801916933,0.2613636363636364,0.5142857142857142,0.7605633802816901,0.8449848024316109,0.6136363636363636,0.6893203883495146,0.5867768595041323,0.5949367088607594,0.6339285714285714
2,0.7463235294117647,0.5928708828480963,0.5895342229417585,0.7463235294117647,0.6363636363636364,0.26582278481012656,0.9741935483870968,0.375,0.456,0.6404494382022472,0.8505494505494505,0.5327102803738318,0.8497409326424871,0.8723404255319149,0.6547619047619048,0.8608923884514437
3,0.7043269230769231,0.742911019728521,0.7095535445643223,0.7043269230769231,0.8880597014925373,0.6040609137055838,0.9315068493150684,0.7190332326283987,0.6581196581196581,0.8953488372093024,0.8787878787878788,0.7586206896551724,0.5878787878787879,0.7293233082706767,0.7597173144876325,0.651006711409396
4,0.5572916666666666,0.4955455790821645,0.5057510290170883,0.5572916666666666,0.28125,0.21951219512195122,0.847682119205298,0.24657534246575344,0.7790697674418605,0.5583333333333333,0.928030303030303,0.6504854368932039,0.5512820512820513,0.7087912087912088,0.4801980198019802,0.6201923076923077
5,0.5887096774193549,0.4627641766059845,0.46177821181457396,0.5887096774193549,0.3670886075949367,0.26851851851851855,0.8711340206185567,0.31016042780748665,0.2672413793103448,0.3333333333333333,0.7890818858560794,0.2966507177033493,0.770764119601329,0.7864406779661017,0.6567164179104478,0.7785234899328859
