Fold,Accuracy_overall,Balanced Accuracy_overall,Macro F1_overall,Micro F1_overall,covid_Precision,covid_Recall,covid_Specificity,covid_F1,pneumonia_Precision,pneumonia_Recall,pneumonia_Specificity,pneumonia_F1,regular_Precision,regular_Recall,regular_Specificity,regular_F1
1,0.5625,0.474465687880322,0.47437212755131836,0.5625,0.21348314606741572,0.2261904761904762,0.7784810126582279,0.21965317919075145,0.4819277108433735,0.4878048780487805,0.8647798742138365,0.48484848484848486,0.7280701754385965,0.7094017094017094,0.6265060240963856,0.7186147186147186
2,0.7941176470588235,0.7297866133199967,0.6986813728401705,0.7941176470588235,0.6129032258064516,0.4418604651162791,0.9475982532751092,0.5135135135135135,0.5789473684210527,0.8953488372093024,0.8777292576419214,0.7031963470319634,0.9083094555873925,0.8521505376344086,0.813953488372093,0.8793342579750346
3,0.5456730769230769,0.5773260703881087,0.5451447855760405,0.5456730769230769,0.7663551401869159,0.4270833333333333,0.8883928571428571,0.5484949832775919,0.40853658536585363,0.6907216494845361,0.6959247648902821,0.5134099616858238,0.5379310344827586,0.6141732283464567,0.7681660899653979,0.5735294117647058
4,0.65625,0.6238527325823947,0.628804952453664,0.65625,0.578125,0.39361702127659576,0.906896551724138,0.4683544303797469,0.7310924369747899,0.725,0.8787878787878788,0.7280334728033473,0.6368159203980099,0.7529411764705882,0.6588785046728972,0.6900269541778975
5,0.5080645161290323,0.4201426655374914,0.4170970641558876,0.5080645161290323,0.2631578947368421,0.2803738317757009,0.7840616966580977,0.27149321266968324,0.29245283018867924,0.33695652173913043,0.8143564356435643,0.31313131313131315,0.6920289855072463,0.6430976430976431,0.5728643216080402,0.6666666666666666
