Fold,Accuracy_overall,Balanced Accuracy_overall,Macro F1_overall,Micro F1_overall,covid_Precision,covid_Recall,covid_Specificity,covid_F1,pneumonia_Precision,pneumonia_Recall,pneumonia_Specificity,pneumonia_F1,regular_Precision,regular_Recall,regular_Specificity,regular_F1
1,0.59,0.5362436438385805,0.5382961231728068,0.59,0.27049180327868855,0.4230769230769231,0.7236024844720497,0.33,0.6507936507936508,0.5189873417721519,0.9314641744548287,0.5774647887323944,0.7534883720930232,0.6666666666666666,0.6624203821656051,0.7074235807860261
2,0.7316176470588235,0.5826874508970871,0.5616158868760386,0.7316176470588235,0.1111111111111111,0.06976744186046512,0.8951965065502183,0.08571428571428572,0.7,0.8105263157894737,0.9265033407572383,0.7512195121951218,0.8289473684210527,0.8677685950413223,0.6408839779005525,0.8479138627187081
3,0.47596153846153844,0.5191492351120403,0.5012268294127364,0.47596153846153844,0.4700854700854701,0.3021978021978022,0.7350427350427351,0.3678929765886288,0.6458333333333334,0.6966292134831461,0.8960244648318043,0.6702702702702703,0.39901477832512317,0.5586206896551724,0.5498154981549815,0.4655172413793103
4,0.6744791666666666,0.6354675790159662,0.6325377547977711,0.6744791666666666,0.5882352941176471,0.3409090909090909,0.9290540540540541,0.4316546762589928,0.6976744186046512,0.8181818181818182,0.8576642335766423,0.7531380753138075,0.6813725490196079,0.7473118279569892,0.6717171717171717,0.7128205128205128
5,0.532258064516129,0.3968916303821965,0.3845422375341963,0.532258064516129,0.14285714285714285,0.08490566037735849,0.8615384615384616,0.10650887573964496,0.24647887323943662,0.33653846153846156,0.7270408163265306,0.2845528455284553,0.7560137457044673,0.7692307692307693,0.6619047619047619,0.7625649913344889
