Fold,Accuracy_overall,Balanced Accuracy_overall,Macro F1_overall,Micro F1_overall,covid_Precision,covid_Recall,covid_Specificity,covid_F1,pneumonia_Precision,pneumonia_Recall,pneumonia_Specificity,pneumonia_F1,regular_Precision,regular_Recall,regular_Specificity,regular_F1
1,0.6025,0.5978115671241114,0.5649159122272266,0.6025,0.29770992366412213,0.4588235294117647,0.707936507936508,0.3611111111111111,0.5402298850574713,0.7121212121212122,0.8802395209580839,0.6143790849673203,0.8516483516483516,0.6224899598393574,0.8211920529801324,0.7192575406032482
2,0.7959558823529411,0.5830207297147217,0.6171620419814862,0.7959558823529411,0.425,0.2328767123287671,0.9511677282377919,0.3008849557522124,0.819672131147541,0.5555555555555556,0.9757709251101322,0.6622516556291391,0.8261851015801355,0.9606299212598425,0.5276073619631901,0.8883495145631068
3,0.6899038461538461,0.706428824759878,0.679796254963423,0.6899038461538461,0.992,0.6078431372549019,0.9952830188679245,0.7537993920972644,0.5673076923076923,0.686046511627907,0.8636363636363636,0.6210526315789473,0.5561497326203209,0.8253968253968254,0.7137931034482758,0.6645367412140575
4,0.5911458333333334,0.5513858423937745,0.558221501915643,0.5911458333333334,0.2736842105263158,0.34210526315789475,0.775974025974026,0.30409356725146197,0.7938144329896907,0.6695652173913044,0.9256505576208178,0.7264150943396227,0.6458333333333334,0.6424870466321243,0.643979057591623,0.6441558441558441
5,0.5463709677419355,0.4149958154146149,0.41372090606258993,0.5463709677419355,0.2714285714285714,0.2087912087912088,0.8740740740740741,0.2360248447204969,0.23134328358208955,0.3163265306122449,0.7412060301507538,0.26724137931034486,0.7568493150684932,0.7198697068403909,0.6243386243386243,0.7378964941569282
