Fold,Accuracy_overall,Balanced Accuracy_overall,Macro F1_overall,Micro F1_overall,covid_Precision,covid_Recall,covid_Specificity,covid_F1,pneumonia_Precision,pneumonia_Recall,pneumonia_Specificity,pneumonia_F1,regular_Precision,regular_Recall,regular_Specificity,regular_F1
1,0.66,0.6528619610072554,0.6307947398513436,0.66,0.43119266055045874,0.5164835164835165,0.7993527508090615,0.47000000000000003,0.6185567010309279,0.759493670886076,0.8847352024922118,0.6818181818181819,0.8092783505154639,0.6826086956521739,0.7823529411764706,0.740566037735849
2,0.7518382352941176,0.5914511430661583,0.5167253476320468,0.7518382352941176,0.1,0.012658227848101266,0.9806451612903225,0.02247191011235955,0.5306122448979592,0.8863636363636364,0.8486842105263158,0.6638297872340426,0.8527131782945736,0.8753315649867374,0.6586826347305389,0.8638743455497382
3,0.5528846153846154,0.635345433923633,0.5601953601953602,0.5528846153846154,0.88,0.3127962085308057,0.9560975609756097,0.46153846153846156,0.5573770491803278,0.7727272727272727,0.8353658536585366,0.6476190476190475,0.4383561643835616,0.8205128205128205,0.5886287625418061,0.5714285714285714
4,0.59375,0.5512551538638495,0.5554634915918529,0.59375,0.40963855421686746,0.3695652173913043,0.8321917808219178,0.38857142857142857,0.6526315789473685,0.5299145299145299,0.8764044943820225,0.5849056603773585,0.6407766990291263,0.7542857142857143,0.645933014354067,0.6929133858267718
5,0.6491935483870968,0.5695032134792427,0.5574543872529026,0.6491935483870968,0.49206349206349204,0.3069306930693069,0.9189873417721519,0.3780487804878049,0.4444444444444444,0.631578947368421,0.8129675810473815,0.5217391304347826,0.7751677852348994,0.77,0.6581632653061225,0.7725752508361204
