Fold,Accuracy_overall,Balanced Accuracy_overall,Macro F1_overall,Micro F1_overall,covid_Precision,covid_Recall,covid_Specificity,covid_F1,pneumonia_Precision,pneumonia_Recall,pneumonia_Specificity,pneumonia_F1,regular_Precision,regular_Recall,regular_Specificity,regular_F1
1,0.555,0.424212584677701,0.42125246433161223,0.555,0.06153846153846154,0.046511627906976744,0.8057324840764332,0.052980132450331126,0.5230769230769231,0.4594594594594595,0.9049079754601227,0.48920863309352514,0.6814814814814815,0.7666666666666667,0.4625,0.7215686274509804
2,0.7242647058823529,0.5413372859025033,0.47990454059908644,0.724264705882353,0.3333333333333333,0.011363636363636364,0.9956140350877193,0.02197802197802198,0.4666666666666667,0.7159090909090909,0.8421052631578947,0.5650224215246636,0.812807881773399,0.8967391304347826,0.5681818181818182,0.8527131782945736
3,0.30288461538461536,0.30414908845677685,0.2821977219556017,0.30288461538461536,0.2909090909090909,0.16842105263157894,0.6548672566371682,0.21333333333333332,0.045454545454545456,0.061855670103092786,0.6050156739811913,0.05240174672489083,0.5057471264367817,0.6821705426356589,0.7003484320557491,0.5808580858085809
4,0.4791666666666667,0.3933991981672394,0.39017522143162536,0.4791666666666667,0.22413793103448276,0.16666666666666666,0.8529411764705882,0.19117647058823528,0.39325842696629215,0.3125,0.8014705882352942,0.34825870646766166,0.5738396624472574,0.7010309278350515,0.46842105263157896,0.6310904872389791
5,0.5262096774193549,0.37742572636189653,0.37311689626577355,0.5262096774193549,0.226890756302521,0.2571428571428571,0.7647058823529411,0.24107142857142855,0.25,0.1276595744680851,0.9104477611940298,0.16901408450704225,0.6747720364741642,0.7474747474747475,0.4623115577889447,0.7092651757188498
