Fold,Accuracy_overall,Balanced Accuracy_overall,Macro F1_overall,Micro F1_overall,covid_Precision,covid_Recall,covid_Specificity,covid_F1,pneumonia_Precision,pneumonia_Recall,pneumonia_Specificity,pneumonia_F1,regular_Precision,regular_Recall,regular_Specificity,regular_F1
1,0.465,0.350042034468264,0.35059085705718757,0.465,0.09302325581395349,0.10256410256410256,0.7577639751552795,0.0975609756097561,0.2976190476190476,0.32051282051282054,0.8167701863354038,0.308641975308642,0.6652173913043479,0.6270491803278688,0.5064102564102564,0.6455696202531646
2,0.6801470588235294,0.5842480063186324,0.5496731645116729,0.6801470588235294,0.14285714285714285,0.13333333333333333,0.8414096916299559,0.1379310344827586,0.5928571428571429,0.8469387755102041,0.8721973094170403,0.6974789915966387,0.859375,0.7724719101123596,0.7606382978723404,0.8136094674556212
3,0.49759615384615385,0.5419974265897527,0.5141170838530562,0.49759615384615385,0.803030303030303,0.2804232804232804,0.9427312775330396,0.41568627450980383,0.6333333333333333,0.6477272727272727,0.899390243902439,0.6404494382022472,0.3730769230769231,0.697841726618705,0.41155234657039713,0.48621553884711777
4,0.6432291666666666,0.5957213333861168,0.5961058356904804,0.6432291666666666,0.5529411764705883,0.5802469135802469,0.8745874587458746,0.5662650602409638,0.8367346938775511,0.3474576271186441,0.9699248120300752,0.49101796407185627,0.636,0.8594594594594595,0.542713567839196,0.7310344827586207
5,0.5423387096774194,0.42178840722185873,0.3831906238410303,0.5423387096774194,0.04878048780487805,0.018691588785046728,0.8997429305912596,0.02702702702702702,0.28654970760233917,0.494949494949495,0.6926952141057935,0.36296296296296293,0.7676056338028169,0.7517241379310344,0.6796116504854369,0.759581881533101
