Fold,Accuracy_overall,Balanced Accuracy_overall,Macro F1_overall,Micro F1_overall,covid_Precision,covid_Recall,covid_Specificity,covid_F1,pneumonia_Precision,pneumonia_Recall,pneumonia_Specificity,pneumonia_F1,regular_Precision,regular_Recall,regular_Specificity,regular_F1
1,0.5275,0.36392015843235354,0.35168871237834515,0.5275,0.15,0.07317073170731707,0.8930817610062893,0.09836065573770492,0.1958762886597938,0.24358974358974358,0.7577639751552795,0.21714285714285714,0.7072243346007605,0.775,0.51875,0.7395626242544733
2,0.5183823529411765,0.3240401146131805,0.3325182064829359,0.5183823529411765,0.0,0.0,0.7951002227171492,0.0,0.46938775510204084,0.23,0.9414414414414415,0.3087248322147651,0.6426799007444168,0.7421203438395415,0.26153846153846155,0.6888297872340425
3,0.2403846153846154,0.277547299621603,0.19472617440577875,0.2403846153846154,0.22580645161290322,0.07,0.7777777777777778,0.10687022900763361,0.19047619047619047,0.0784313725490196,0.89171974522293,0.1111111111111111,0.25,0.6842105263157895,0.2251655629139073,0.36619718309859156
4,0.6276041666666666,0.5691919642709563,0.5602452803517375,0.6276041666666666,0.39285714285714285,0.25287356321839083,0.8855218855218855,0.30769230769230765,0.5416666666666666,0.6842105263157895,0.7555555555555555,0.6046511627906976,0.7663043478260869,0.7704918032786885,0.7860696517412935,0.768392370572207
5,0.6108870967741935,0.3889586134767668,0.3421085010426703,0.6108870967741935,0.3333333333333333,0.017391304347826087,0.989501312335958,0.03305785123966942,0.17647058823529413,0.16666666666666666,0.8275862068965517,0.17142857142857143,0.7061728395061728,0.9828178694158075,0.4195121951219512,0.82183908045977
